Full Address,Latitude,Longitude,category,rating,no_of_rating,location,phone_no,type
"Pothys Hyper Chennai, Tamil Nadu",13.0355069,80.230471,Clothing store,4.4,17000,"Chennai, Tamil Nadu",080 6968 0296,"In-store shopping,Delivery"
"Spencer Plaza Chennai, Tamil Nadu",13.0614067,80.2613024,Shopping mall,4,29000,"Chennai, Tamil Nadu",,
"Cotton Alley Chennai, Tamil Nadu",13.0680906,80.2552689,Clothes market,4.1,1900,"Chennai, Tamil Nadu",,
"Madurai Famous Jigarthanda LLP - Since 1977 Chennai, Tamil Nadu",13.0843007,80.2704622,Ice Cream,4.7,184,"Chennai, Tamil Nadu",078451 66116,"Dine-in,Takeaway"
"Madurai Famous Jigarthanda Medavakkam Chennai, Tamil Nadu",12.9128269,80.1951593,Dessert shop,4.3,95,"Chennai, Tamil Nadu",,"Dine-in,Takeaway"
Madurai Famous Jigarthanda LLP - Since 1977 Tamil Nadu,9.9209182,78.1485807,Ice Cream,4.7,17,Tamil Nadu,090479 88767,"In-store shopping,In-store pick-up"
"MADURAI FAMOUS JIGARTHANDA Guduvancheri, Tamil Nadu",9.9252007,78.1197754,Dairy store,4.2,41,"Guduvancheri, Tamil Nadu",,Delivery
"Phoenix Marketcity Chennai, Tamil Nadu",12.9929399,80.2178681,Shopping mall,4.5,110000,"Chennai, Tamil Nadu",044 6134 3008,
"Express Avenue Chennai, Tamil Nadu",13.0584546,80.2641844,Shopping mall,4.4,100000,"Chennai, Tamil Nadu",,
"Shopping Street Chennai, Tamil Nadu",13.0374416,80.2284142,Shopping mall,4.3,266,"Chennai, Tamil Nadu",,
"TAMILNADU THUNIKKADAI Chennai, Tamil Nadu",13.0340835,80.1557341,Clothing store,4.3,2000,"Chennai, Tamil Nadu",044 2482 6020,
"Madurai Famous Jigarthanda LLP - Since 1977 Old Perungalathur, Chennai, Tamil Nadu",12.9202934,80.0886077,Ice Cream,3.8,60,"Old Perungalathur, Chennai, Tamil Nadu",081899 43668,"Dine-in,Takeaway"
"Madurai Famous jigarthanda Chennai, Tamil Nadu",13.0843007,80.2704622,Ice Cream,4.5,32,"Chennai, Tamil Nadu",,"Dine-in,Takeaway"
"Madurai Famous Jigarthanda LLP - Since 1977 Maraimalai Nagar, Kancheepuram, Tamil Nadu",9.9252007,78.1197754,Ice Cream,4.5,31,"Maraimalai Nagar, Kancheepuram, Tamil Nadu",090479 88767,"Dine-in,Takeaway"
"Madurai Famous Jigarthanda LLP - Since 1977 Vandalur, Padappai, Tamil Nadu",12.8855975,80.0150288,Ice Cream,4.5,39,"Vandalur, Padappai, Tamil Nadu",087548 07522,"Dine-in,Takeaway"
"THE MARINA MALL CHENNAI Egattur, Tamil Nadu",12.8357358,80.2289203,Shopping mall,4.4,30000,"Egattur, Tamil Nadu",044 4017 3017,
"Super Saravana Stores - Purasaiwakkam Chennai, Tamil Nadu",13.086273,80.256937,Department store,4,18000,"Chennai, Tamil Nadu",078239 23777,Delivery
"Madurai Famous Jigarthanda LLP - Since 1977 Kelambakkam, Tamil Nadu",12.7899581,80.2213429,Ice Cream,3.8,48,"Kelambakkam, Tamil Nadu",091904 79767,"Dine-in,Drive-through"
"Madurai Famous Jigardanda LLP - Since 1977 Chennai, Tamil Nadu",12.9581426,80.1870878,Ice Cream,4.3,10,"Chennai, Tamil Nadu",099624 33222,Delivery
"Famous Mens Wear Chennai, Tamil Nadu",13.0312843,80.1839794,Men's clothing store,4.1,11,"Chennai, Tamil Nadu",,Delivery
"Alsa Mall Chennai, Tamil Nadu",13.0687854,80.2573166,Shopping mall,3.8,7400,"Chennai, Tamil Nadu",,
"Rangachari Cloth Store Chennai, Tamil Nadu",13.0371893,80.2624604,Women's clothing store,4.4,2400,"Chennai, Tamil Nadu",044 2499 4545,
"Madurai Famous jigarthanda Chennai, Tamil Nadu",13.0843007,80.2704622,Ice Cream,3.8,46,"Chennai, Tamil Nadu",090479 88767,Delivery
"Madurai famous jigarthanda Chennai, Tamil Nadu",13.0843007,80.2704622,Ice Cream,4.4,17,"Chennai, Tamil Nadu",,"Dine-in,Takeaway"
"Madurai Famous Jigarthanda LLP - Since 1977 Chennai, Tamil Nadu",13.0843007,80.2704622,Ice Cream,4.2,36,"Chennai, Tamil Nadu",087545 76400,Takeaway
"Madurai Famous Jigarthanda LLP - Since 1977 Chennai, Tamil Nadu",13.0843007,80.2704622,Ice Cream,4.4,37,"Chennai, Tamil Nadu",095855 77786,Delivery
"Famous Stores Chennai, Tamil Nadu",13.0794926,80.2577144,General store,,,"Chennai, Tamil Nadu",044 4260 2048,Delivery
"TamilNadu Cloth Store and Dresses Chennai, Tamil Nadu",12.9265691,80.1150865,Clothing store,3.4,25,"Chennai, Tamil Nadu",044 2226 6303,Delivery
"Madurai Famous Jigarthanda LLP - Since 1977 Mathur, Vallakkottai, Tamil Nadu",12.8829951,79.9340251,Ice Cream,4.7,3,"Mathur, Vallakkottai, Tamil Nadu",099620 17682,Takeaway
"Tamilnadu Super Market Chennai, Tamil Nadu",12.9746113,80.219609,Supermarket,4.1,606,"Chennai, Tamil Nadu",044 2259 1295,Delivery
"Madurai Famous Jigarthanda LLP - Since 1977 Chennai, Tamil Nadu",13.0843007,80.2704622,Ice Cream,4,27,"Chennai, Tamil Nadu",090479 88767,"Dine-in,Kerbside pickup"
"Famous Super Bazaar Chennai, Tamil Nadu",13.0973959,80.2311994,Grocery store,4.8,4,"Chennai, Tamil Nadu",097908 38955,Delivery
"Madurai Famous Jigarthanda Chennai, Tamil Nadu",13.0843007,80.2704622,Ice Cream,4.4,29,"Chennai, Tamil Nadu",073959 78143,"Dine-in,Takeaway"
